model,total_elapsed_time,P-1,S-1,E-1,E-2,E-3,E-4,E-5,E-6,E-7,E-8,E-9,E-10,E-11,E-12,E-13,A-1,D-1,P-2,P-3,D-2,D-3,D-4,A-2,A-3,A-4,G-1,G-2,D-5,D-6,D-7,F-1,P-4,G-3,T-1,T-2,D-8,D-9,F-2,G-4,T-3,D-11,D-12,B-1,G-6,G-7,P-7,R-1,A-5,A-6,A-7,D-13,P-2,A-8,A-9,F-3,M-6,M-1,M-2,S-2,P-10,T-4,T-5,F-7,M-3,M-4,M-5,P-15,C-1,C-2,T-12,T-13,F-4,F-5,D-14,T-9,P-14,T-8,P-11,D-15,D-16,M-7,F-8
LSTM_baseline_2021-07-23_19.26.44,3452.3170697689056,64.22393584251404,58.65903639793396,62.35501027107239,62.35660099983215,58.412755489349365,64.20615291595459,63.58290147781372,32.79383397102356,39.16741704940796,63.83201479911804,64.30801224708557,66.47666049003601,64.5355339050293,63.99215865135193,64.37405371665955,32.319648027420044,33.422038078308105,29.405486822128296,63.22496247291565,31.902912139892578,36.39811158180237,37.20234179496765,58.89777874946594,60.45293378829956,60.538196086883545,59.439205169677734,34.958256483078,37.36164164543152,55.69781160354614,33.86118841171265,63.84877586364746,29.169124603271484,58.50276708602905,64.1260712146759,64.04175591468811,29.197729349136353,33.626166582107544,45.89719867706299,28.80428171157837,36.032774448394775,32.963711977005005,12.91386604309082,30.86529541015625,33.97513818740845,39.58046531677246,42.05557942390442,34.30071687698364,17.38859748840332,17.458531379699707,62.37754774093628,22.56888198852539,29.405486822128296,22.529313802719116,22.532016277313232,33.18096923828125,20.82642936706543,45.37151646614075,45.21563148498535,13.157305002212524,52.002692461013794,47.00376510620117,23.360913276672363,55.04061150550842,41.92551398277283,42.27057456970215,42.13816237449646,33.8773455619812,44.177968978881836,12.747075080871582,18.845409393310547,15.590481281280518,46.9746458530426,56.70710039138794,33.50532579421997,7.196631908416748,29.507824182510376,10.537053346633911,81.7118148803711,42.79752159118652,30.477495670318604,23.8883535861969,68.19785070419312
DeepESN_baseline_2021-07-24_11.24.35,24118.995129346848,398.85192036628723,318.7187969684601,394.17690682411194,394.7692677974701,383.5363919734955,384.6657657623291,384.8505210876465,325.03805112838745,382.334841966629,412.31572103500366,401.574866771698,397.6183371543884,394.96716809272766,402.13372707366943,400.4751949310303,372.4798541069031,402.07913422584534,322.38976407051086,300.1971595287323,374.7147843837738,391.2890295982361,387.9769823551178,350.75312757492065,270.58279848098755,353.1551172733307,365.60571813583374,325.23984146118164,343.55301547050476,328.26950883865356,350.61516547203064,389.5316107273102,364.85322189331055,327.74455404281616,420.5530767440796,412.58699011802673,269.99663496017456,338.7751576900482,276.2910976409912,199.72851037979126,156.25109887123108,296.26058554649353,90.24015092849731,198.85749578475952,391.67765402793884,243.00974893569946,286.00453996658325,199.49996757507324,103.73829698562622,99.49356484413147,408.098904132843,129.61716747283936,322.38976407051086,144.74669981002808,146.50173044204712,389.7791314125061,179.80906772613525,257.3921768665314,255.8875823020935,103.69033217430115,443.8642680644989,215.38443422317505,262.94239568710327,318.92393040657043,232.0341866016388,234.84961462020874,236.3757026195526,437.10233545303345,242.75434494018555,84.10790467262268,108.96433353424072,131.8274314403534,267.7307302951813,314.5579659938812,305.6123683452606,40.73314309120178,330.3583025932312,78.86242699623108,401.3947880268097,231.86485266685486,158.97240471839905,179.71745204925537,389.58501839637756
ESN_100Epochs_2021-07-28_17.34.52,4990.1496322155,70.28886151313782,71.23871326446533,81.2632691860199,93.47337460517883,86.63725566864014,72.28235077857971,70.76581859588623,73.09887504577637,73.44359493255615,79.69102025032043,77.02161717414856,78.80189752578735,73.9412899017334,85.5557291507721,74.5787034034729,75.7060775756836,80.74381446838379,71.63203811645508,78.71796798706055,77.15010166168213,76.5856363773346,78.54500365257263,79.81607961654663,80.13463115692139,75.41359972953796,76.57613134384155,66.67486596107483,67.85252451896667,72.67450618743896,67.58169388771057,72.74526929855347,68.23334646224976,83.24054765701294,73.58972907066345,80.90837383270264,76.860769033432,66.28717494010925,78.53320288658142,68.93791246414185,75.13129711151123,70.58986210823059,70.49508881568909,69.07401394844055,81.23146533966064,73.94988107681274,70.4619824886322,66.06915712356567,44.65690207481384,42.87711811065674,74.43124318122864,66.70264530181885,71.63203811645508,76.88517022132874,71.81063294410706,80.5792441368103,27.16717839241028,29.130632877349854,30.013781309127808,25.12230086326599,56.175644397735596,31.555997371673584,32.84824013710022,51.91465711593628,29.523346185684204,29.1496798992157,34.836647033691406,34.91977787017822,30.125574111938477,28.63752055168152,38.073384284973145,32.920636892318726,39.11134147644043,44.500500440597534,33.58418583869934,14.67143988609314,59.38442516326904,23.92075514793396,43.318276166915894,29.867809295654297,30.964491844177246,28.816620349884033,33.97911548614502
LSTM_nolabel_2021-07-28_19.01.24,3128.0630390644073,44.574705600738525,50.423125982284546,52.83500933647156,52.855947494506836,13.375292539596558,16.965177059173584,56.090402126312256,21.21321964263916,21.093245029449463,51.61110258102417,38.81717824935913,15.621337890625,40.92279624938965,39.08722996711731,36.47882390022278,19.184789419174194,33.02297496795654,38.12350678443909,26.820857524871826,29.075838088989258,34.7819721698761,29.911081075668335,33.11319136619568,50.74374175071716,36.91630220413208,27.701261043548584,28.009162425994873,56.68154287338257,56.405232667922974,56.498741149902344,43.73636031150818,56.43633222579956,58.11155724525452,52.668145418167114,57.16615867614746,56.259238958358765,32.69042706489563,35.55092096328735,56.23870635032654,43.175551891326904,55.86994695663452,37.434792041778564,31.051270723342896,41.39523983001709,48.13458585739136,48.10848832130432,58.5810387134552,53.88427758216858,36.52318572998047,39.366132974624634,30.14418077468872,36.385029315948486,29.89161467552185,39.375070333480835,28.92269015312195,36.15817856788635,37.60595345497131,36.763347864151,18.277307510375977,17.07504916191101,55.220284938812256,37.407984495162964,66.6546413898468,29.526177406311035,31.550071716308594,30.85766100883484,53.95996618270874,30.08959722518921,52.587448596954346,34.31620645523071,52.59852123260498,14.099182844161987,55.75637459754944,8.151179313659668,21.463484048843384,18.413113355636597,53.88200497627258,34.553964138031006,40.416770935058594,26.875486373901367,10.32792353630066,7.4194254875183105
ESN_nolabel_2021-07-28_21.48.21,4993.8839199543,66.53226375579834,74.8732442855835,80.16003394126892,83.54673099517822,44.086097240448,44.75122880935669,76.54849076271057,76.74062919616699,70.35128808021545,81.20020365715027,30.03552484512329,26.57340097427368,77.45774722099304,70.41821551322937,84.2756450176239,67.66854238510132,31.963555335998535,28.874428749084473,31.672672748565674,75.61630034446716,79.56504392623901,78.38127326965332,74.1339316368103,73.50421929359436,68.03083872795105,73.60062885284424,67.48539972305298,71.6980369091034,73.65942859649658,74.79999470710754,77.10423159599304,72.93919944763184,83.73850655555725,82.86968326568604,74.95252919197083,83.31377720832825,77.39989233016968,72.76091742515564,77.33684301376343,77.19139122962952,74.06517553329468,77.46044588088989,81.27093648910522,45.72464418411255,45.47796583175659,53.64008665084839,36.141175270080566,80.29334878921509,65.66666793823242,72.79240536689758,69.62119102478027,96.21737241744995,74.2858202457428,41.29553008079529,36.20426368713379,28.780616283416748,29.15229892730713,29.236371278762817,26.210277557373047,28.625882863998413,75.89569354057312,56.75904870033264,41.315661668777466,56.156848192214966,33.287301540374756,72.91181135177612,78.84717535972595,75.35992288589478,72.72876811027527,67.39707899093628,67.87244439125061,27.724878072738647,78.452800989151,23.187034130096436,41.11764168739319,34.976203203201294,87.0902988910675,75.05389976501465,32.34287905693054,27.965524911880493,23.255518198013306,14.210999250411987
