model,total_elapsed_time,P-1,S-1,E-1,E-2,E-3,E-4,E-5,E-6,E-7,E-8,E-9,E-10,E-11,E-12,E-13,A-1,D-1,P-2,P-3,D-2,D-3,D-4,A-2,A-3,A-4,G-1,G-2,D-5,D-6,D-7,F-1,P-4,G-3,T-1,T-2,D-8,D-9,F-2,G-4,T-3,D-11,D-12,B-1,G-6,G-7,P-7,R-1,A-5,A-6,A-7,D-13,P-2,A-8,A-9,F-3,M-6,M-1,M-2,S-2,P-10,T-4,T-5,F-7,M-3,M-4,M-5,P-15,C-1,C-2,T-12,T-13,F-4,F-5,D-14,T-9,P-14,T-8,P-11,D-15,D-16,M-7,F-8
LSTM_baseline_2021-07-23_19.26.44,0h:48m:09s.173,0h:00m:55s.419,0h:00m:51s.204,0h:00m:53s.436,0h:00m:53s.212,0h:00m:47s.503,0h:00m:54s.869,0h:00m:54s.252,0h:00m:23s.991,0h:00m:29s.921,0h:00m:54s.331,0h:00m:54s.704,0h:00m:56s.720,0h:00m:54s.542,0h:00m:54s.369,0h:00m:54s.570,0h:00m:22s.574,0h:00m:23s.905,0h:00m:20s.999,0h:00m:53s.929,0h:00m:22s.619,0h:00m:26s.982,0h:00m:28s.304,0h:00m:49s.785,0h:00m:51s.250,0h:00m:51s.410,0h:00m:50s.13,0h:00m:26s.937,0h:00m:29s.93,0h:00m:46s.887,0h:00m:25s.894,0h:00m:54s.286,0h:00m:20s.485,0h:00m:49s.661,0h:00m:54s.709,0h:00m:54s.471,0h:00m:20s.781,0h:00m:25s.648,0h:00m:36s.895,0h:00m:21s.30,0h:00m:26s.577,0h:00m:25s.492,0h:00m:04s.833,0h:00m:22s.637,0h:00m:24s.813,0h:00m:31s.174,0h:00m:34s.38,0h:00m:26s.369,0h:00m:12s.210,0h:00m:12s.868,0h:00m:53s.299,0h:00m:14s.589,0h:00m:20s.999,0h:00m:14s.73,0h:00m:14s.106,0h:00m:24s.838,0h:00m:18s.767,0h:00m:42s.794,0h:00m:42s.678,0h:00m:11s.287,0h:00m:45s.155,0h:00m:44s.705,0h:00m:20s.841,0h:00m:49s.405,0h:00m:39s.746,0h:00m:39s.926,0h:00m:39s.475,0h:00m:30s.902,0h:00m:41s.573,0h:00m:10s.500,0h:00m:16s.331,0h:00m:12s.890,0h:00m:43s.423,0h:00m:52s.142,0h:00m:30s.788,0h:00m:06s.16,0h:00m:22s.849,0h:00m:08s.947,0h:01m:17s.663,0h:00m:40s.117,0h:00m:27s.494,0h:00m:21s.675,0h:01m:05s.312
DeepESN_baseline_2021-07-24_11.24.35,5h:22m:28s.586,0h:05m:19s.742,0h:04m:08s.730,0h:05m:15s.199,0h:05m:16s.101,0h:05m:08s.980,0h:05m:09s.56,0h:05m:06s.375,0h:04m:08s.697,0h:05m:06s.424,0h:05m:25s.234,0h:05m:22s.869,0h:05m:18s.99,0h:05m:16s.164,0h:05m:24s.699,0h:05m:18s.683,0h:04m:52s.402,0h:05m:23s.824,0h:04m:06s.774,0h:03m:42s.305,0h:04m:52s.882,0h:05m:11s.324,0h:05m:10s.138,0h:04m:39s.341,0h:03m:16s.517,0h:04m:39s.639,0h:04m:49s.190,0h:04m:18s.725,0h:04m:34s.266,0h:04m:17s.244,0h:04m:41s.581,0h:05m:11s.393,0h:04m:45s.170,0h:04m:09s.747,0h:05m:31s.165,0h:05m:27s.765,0h:03m:13s.575,0h:04m:30s.210,0h:03m:04s.918,0h:02m:08s.24,0h:01m:15s.238,0h:03m:46s.429,0h:00m:16s.507,0h:02m:03s.815,0h:05m:12s.937,0h:02m:50s.48,0h:03m:32s.940,0h:02m:14s.30,0h:01m:01s.258,0h:01m:00s.401,0h:05m:23s.343,0h:00m:55s.765,0h:04m:06s.774,0h:01m:07s.468,0h:01m:07s.694,0h:05m:13s.293,0h:02m:43s.611,0h:03m:58s.839,0h:03m:57s.430,0h:01m:29s.747,0h:06m:28s.210,0h:03m:17s.345,0h:04m:05s.124,0h:04m:33s.934,0h:03m:34s.730,0h:03m:38s.326,0h:03m:37s.376,0h:06m:53s.1,0h:03m:44s.113,0h:01m:07s.585,0h:01m:29s.132,0h:01m:51s.489,0h:03m:57s.871,0h:04m:40s.433,0h:04m:43s.914,0h:00m:31s.762,0h:04m:35s.299,0h:01m:07s.465,0h:06m:11s.8,0h:03m:34s.345,0h:02m:21s.280,0h:02m:42s.453,0h:06m:09s.323
ESN_100Epochs_2021-07-28_17.34.52,0h:21m:55s.354,0h:00m:17s.812,0h:00m:17s.254,0h:00m:20s.674,0h:00m:21s.168,0h:00m:17s.70,0h:00m:15s.11,0h:00m:14s.156,0h:00m:14s.677,0h:00m:14s.978,0h:00m:17s.261,0h:00m:14s.672,0h:00m:20s.604,0h:00m:15s.169,0h:00m:22s.149,0h:00m:15s.348,0h:00m:14s.812,0h:00m:15s.957,0h:00m:14s.854,0h:00m:15s.319,0h:00m:14s.843,0h:00m:15s.736,0h:00m:17s.769,0h:00m:20s.526,0h:00m:17s.205,0h:00m:15s.108,0h:00m:16s.76,0h:00m:15s.357,0h:00m:14s.600,0h:00m:19s.207,0h:00m:14s.702,0h:00m:14s.245,0h:00m:14s.765,0h:00m:27s.643,0h:00m:15s.577,0h:00m:22s.844,0h:00m:14s.145,0h:00m:15s.118,0h:00m:17s.745,0h:00m:14s.313,0h:00m:14s.274,0h:00m:15s.156,0h:00m:07s.988,0h:00m:14s.93,0h:00m:16s.625,0h:00m:14s.803,0h:00m:15s.940,0h:00m:14s.374,0h:00m:14s.56,0h:00m:13s.728,0h:00m:16s.605,0h:00m:14s.53,0h:00m:14s.854,0h:00m:14s.648,0h:00m:15s.30,0h:00m:17s.84,0h:00m:15s.68,0h:00m:14s.407,0h:00m:15s.663,0h:00m:14s.442,0h:00m:15s.169,0h:00m:15s.449,0h:00m:16s.663,0h:00m:15s.356,0h:00m:15s.980,0h:00m:15s.626,0h:00m:19s.320,0h:00m:15s.760,0h:00m:15s.462,0h:00m:15s.170,0h:00m:22s.508,0h:00m:15s.843,0h:00m:15s.424,0h:00m:16s.821,0h:00m:15s.970,0h:00m:08s.703,0h:00m:15s.673,0h:00m:14s.894,0h:00m:17s.902,0h:00m:14s.907,0h:00m:15s.591,0h:00m:15s.110,0h:00m:16s.965
LSTM_nolabel_2021-07-28_19.01.24,0h:42m:10s.727,0h:00m:35s.644,0h:00m:42s.200,0h:00m:43s.979,0h:00m:43s.572,0h:00m:08s.678,0h:00m:11s.935,0h:00m:46s.682,0h:00m:12s.399,0h:00m:12s.167,0h:00m:28s.84,0h:00m:36s.128,0h:00m:13s.219,0h:00m:31s.463,0h:00m:31s.124,0h:00m:06s.756,0h:00m:11s.148,0h:00m:30s.322,0h:00m:35s.29,0h:00m:24s.545,0h:00m:19s.897,0h:00m:26s.42,0h:00m:20s.553,0h:00m:25s.217,0h:00m:41s.976,0h:00m:28s.833,0h:00m:18s.996,0h:00m:19s.989,0h:00m:46s.806,0h:00m:46s.864,0h:00m:46s.981,0h:00m:34s.396,0h:00m:46s.837,0h:00m:47s.146,0h:00m:43s.379,0h:00m:46s.917,0h:00m:47s.421,0h:00m:23s.559,0h:00m:26s.215,0h:00m:46s.930,0h:00m:34s.381,0h:00m:46s.724,0h:00m:28s.172,0h:00m:22s.157,0h:00m:37s.437,0h:00m:43s.666,0h:00m:42s.484,0h:00m:55s.714,0h:00m:44s.661,0h:00m:27s.392,0h:00m:29s.997,0h:00m:22s.348,0h:00m:27s.85,0h:00m:21s.486,0h:00m:36s.696,0h:00m:26s.432,0h:00m:33s.772,0h:00m:35s.551,0h:00m:34s.471,0h:00m:16s.209,0h:00m:14s.912,0h:00m:46s.230,0h:00m:31s.97,0h:01m:02s.919,0h:00m:22s.759,0h:00m:28s.448,0h:00m:22s.549,0h:00m:45s.114,0h:00m:21s.973,0h:00m:44s.280,0h:00m:19s.246,0h:00m:44s.716,0h:00m:12s.172,0h:00m:46s.469,0h:00m:07s.214,0h:00m:19s.39,0h:00m:16s.43,0h:00m:45s.130,0h:00m:25s.653,0h:00m:38s.188,0h:00m:24s.643,0h:00m:08s.771,0h:00m:06s.255
ESN_nolabel_2021-07-28_21.48.21,0h:22m:41s.436,0h:00m:16s.907,0h:00m:18s.41,0h:00m:19s.461,0h:00m:22s.723,0h:00m:14s.14,0h:00m:15s.116,0h:00m:18s.778,0h:00m:14s.328,0h:00m:13s.769,0h:00m:14s.440,0h:00m:16s.554,0h:00m:14s.380,0h:00m:15s.752,0h:00m:15s.526,0h:00m:08s.503,0h:00m:15s.564,0h:00m:15s.692,0h:00m:14s.814,0h:00m:17s.251,0h:00m:15s.114,0h:00m:15s.80,0h:00m:16s.314,0h:00m:16s.374,0h:00m:17s.421,0h:00m:14s.975,0h:00m:14s.401,0h:00m:15s.450,0h:00m:14s.409,0h:00m:15s.935,0h:00m:16s.455,0h:00m:15s.453,0h:00m:14s.646,0h:00m:20s.874,0h:00m:22s.639,0h:00m:16s.461,0h:00m:21s.327,0h:00m:17s.214,0h:00m:15s.181,0h:00m:14s.455,0h:00m:16s.581,0h:00m:14s.523,0h:00m:15s.778,0h:00m:18s.98,0h:00m:20s.619,0h:00m:15s.591,0h:00m:17s.570,0h:00m:19s.797,0h:00m:18s.918,0h:00m:14s.243,0h:00m:15s.56,0h:00m:14s.490,0h:00m:18s.840,0h:00m:14s.725,0h:00m:26s.543,0h:00m:22s.157,0h:00m:15s.871,0h:00m:16s.537,0h:00m:14s.329,0h:00m:14s.116,0h:00m:14s.801,0h:00m:15s.966,0h:00m:14s.877,0h:00m:17s.188,0h:00m:14s.503,0h:00m:15s.405,0h:00m:15s.497,0h:00m:17s.312,0h:00m:16s.334,0h:00m:17s.406,0h:00m:14s.919,0h:00m:14s.520,0h:00m:16s.276,0h:00m:19s.721,0h:00m:20s.491,0h:00m:23s.299,0h:00m:17s.787,0h:00m:28s.736,0h:00m:14s.416,0h:00m:18s.291,0h:00m:14s.306,0h:00m:14s.693,0h:00m:08s.475
ESN_lr_2021-08-02_10.31.02,0h:21m:52s.231,0h:00m:17s.156,0h:00m:14s.157,0h:00m:18s.145,0h:00m:14s.775,0h:00m:14s.862,0h:00m:18s.330,0h:00m:16s.474,0h:00m:14s.209,0h:00m:14s.622,0h:00m:14s.557,0h:00m:16s.496,0h:00m:14s.771,0h:00m:15s.573,0h:00m:14s.672,0h:00m:23s.534,0h:00m:14s.397,0h:00m:15s.392,0h:00m:15s.791,0h:00m:14s.655,0h:00m:14s.375,0h:00m:14s.453,0h:00m:14s.106,0h:00m:17s.738,0h:00m:16s.827,0h:00m:22s.587,0h:00m:15s.504,0h:00m:14s.405,0h:00m:14s.1,0h:00m:15s.689,0h:00m:14s.219,0h:00m:14s.518,0h:00m:14s.634,0h:00m:14s.574,0h:00m:23s.545,0h:00m:25s.986,0h:00m:14s.208,0h:00m:15s.123,0h:00m:14s.37,0h:00m:13s.882,0h:00m:14s.677,0h:00m:14s.783,0h:00m:07s.786,0h:00m:13s.915,0h:00m:14s.648,0h:00m:14s.42,0h:00m:15s.850,0h:00m:14s.276,0h:00m:13s.651,0h:00m:15s.89,0h:00m:22s.307,0h:00m:14s.175,0h:00m:15s.791,0h:00m:13s.741,0h:00m:14s.837,0h:00m:16s.685,0h:00m:14s.891,0h:00m:16s.402,0h:00m:15s.319,0h:00m:14s.799,0h:00m:15s.106,0h:00m:24s.773,0h:00m:15s.416,0h:00m:14s.900,0h:00m:15s.605,0h:00m:14s.773,0h:00m:19s.148,0h:00m:16s.128,0h:00m:15s.146,0h:00m:14s.691,0h:00m:19s.516,0h:00m:14s.933,0h:00m:14s.571,0h:00m:14s.169,0h:00m:14s.830,0h:00m:09s.667,0h:00m:14s.447,0h:00m:22s.717,0h:00m:27s.952,0h:00m:15s.387,0h:00m:15s.839,0h:00m:18s.246,0h:00m:20s.620
