model,total_elapsed_time,P-1,S-1,E-1,E-2,E-3,E-4,E-5,E-6,E-7,E-8,E-9,E-10,E-11,E-12,E-13,A-1,D-1,P-2,P-3,D-2,D-3,D-4,A-2,A-3,A-4,G-1,G-2,D-5,D-6,D-7,F-1,P-4,G-3,T-1,T-2,D-8,D-9,F-2,G-4,T-3,D-11,D-12,B-1,G-6,G-7,P-7,R-1,A-5,A-6,A-7,D-13,P-2,A-8,A-9,F-3,M-6,M-1,M-2,S-2,P-10,T-4,T-5,F-7,M-3,M-4,M-5,P-15,C-1,C-2,T-12,T-13,F-4,F-5,D-14,T-9,P-14,T-8,P-11,D-15,D-16,M-7,F-8
LSTM_baseline_2021-07-23_19.26.44,2889.173173427582,55.419487953186035,51.20402503013611,53.43674087524414,53.21227788925171,47.50393843650818,54.869895696640015,54.252434492111206,23.991102695465088,29.921472549438477,54.331618785858154,54.704875469207764,56.720550537109375,54.54267382621765,54.36995267868042,54.57089352607727,22.574392557144165,23.905330419540405,20.999189138412476,53.92943525314331,22.61983060836792,26.98255491256714,28.30457305908203,49.78521752357483,51.25053262710571,51.41055083274841,50.013405561447144,26.93752408027649,29.09349012374878,46.887104749679565,25.89484429359436,54.28671312332153,20.485750675201416,49.661653995513916,54.709190368652344,54.47132611274719,20.781099796295166,25.648813247680664,36.89549994468689,21.030661582946777,26.57717275619507,25.49230933189392,4.833302736282349,22.63799524307251,24.813164710998535,31.17433190345764,34.03883624076843,26.369665145874023,12.210094690322876,12.868894338607788,53.299487590789795,14.589787721633911,20.999189138412476,14.073200702667236,14.106186151504517,24.838019132614136,18.767728805541992,42.79493045806885,42.6785454750061,11.287315845489502,45.15521454811096,44.70515036582947,20.841108083724976,49.405789375305176,39.74628138542175,39.92641472816467,39.4754376411438,30.90256667137146,41.57398509979248,10.500324010848999,16.33190369606018,12.89000391960144,43.4239182472229,52.142637968063354,30.78830885887146,6.016033172607422,22.849732160568237,8.947601318359375,77.66306376457214,40.117440938949585,27.494478225708008,21.675334930419922,65.3120801448822
DeepESN_baseline_2021-07-24_11.24.35,19348.58642888069,319.74283504486084,248.73051691055298,315.1991481781006,316.10194849967957,308.98063349723816,309.0568130016327,306.37587308883667,248.69711589813232,306.42431569099426,325.2349066734314,322.86992931365967,318.09967517852783,316.16450238227844,324.6996510028839,318.6835551261902,292.40274310112,323.8249008655548,246.7744586467743,222.30555748939514,292.8826916217804,311.324588060379,310.13822293281555,279.3415153026581,196.51796698570251,279.6393971443176,289.1907320022583,258.7252218723297,274.2665011882782,257.24445056915283,281.5818393230438,311.39396595954895,285.17098784446716,249.74777483940125,331.16511726379395,327.76510429382324,193.5751223564148,270.2109942436218,184.91827130317688,128.02434468269348,75.23812174797058,226.42930102348328,16.507579565048218,123.81524538993835,312.93790078163147,170.04838824272156,212.94014835357666,134.0301172733307,61.25848889350891,60.401726961135864,323.3431851863861,55.765679597854614,246.7744586467743,67.46801924705505,67.6946325302124,313.29335165023804,163.61183142662048,238.8392448425293,237.4304449558258,89.74774670600891,388.21001076698303,197.34518456459045,245.1241009235382,273.93477487564087,214.73077273368835,218.32615780830383,217.37683057785034,413.00141954421997,224.11337852478027,67.58559679985046,89.1327166557312,111.48975133895874,237.87162518501282,280.4330155849457,283.9142997264862,31.762760400772095,275.2997992038727,67.46569156646729,371.0080738067627,214.34504199028015,141.28051733970642,162.4534890651703,369.32313084602356
ESN_100Epochs_2021-07-28_17.34.52,1315.35413813591,17.812878608703613,17.254563331604004,20.674248695373535,21.168294668197632,17.07029700279236,15.011329174041748,14.156251430511475,14.677302360534668,14.97890019416809,17.261842012405396,14.672018051147461,20.60498309135437,15.169885873794556,22.14912748336792,15.348427295684814,14.81246018409729,15.957484245300293,14.854079246520996,15.319549083709717,14.843820571899414,15.736055850982666,17.76921558380127,20.526819705963135,17.205052852630615,15.108322620391846,16.076335430145264,15.357952356338501,14.60054349899292,19.20739722251892,14.702351093292236,14.245445013046265,14.765599489212036,27.643333196640015,15.577835083007812,22.844946146011353,14.145735740661621,15.118958473205566,17.74506187438965,14.313645362854004,14.274307012557983,15.156521797180176,7.988635063171387,14.093071937561035,16.62515354156494,14.803758144378662,15.940665483474731,14.374119997024536,14.056846618652344,13.728657007217407,16.605733394622803,14.053511381149292,14.854079246520996,14.648961067199707,15.03092646598816,17.08435893058777,15.06856369972229,14.407662868499756,15.663748025894165,14.44204330444336,15.169235229492188,15.449451208114624,16.663434505462646,15.356809854507446,15.980334997177124,15.62664532661438,19.320966243743896,15.760854482650757,15.462343692779541,15.170324325561523,22.508453607559204,15.843977689743042,15.424158096313477,16.821146965026855,15.970475673675537,8.703919649124146,15.673259973526001,14.894912719726562,17.90216326713562,14.907421112060547,15.59137773513794,15.110526323318481,16.965139865875244
LSTM_nolabel_2021-07-28_19.01.24,2530.7271268367767,35.64454960823059,42.20000338554382,43.97990322113037,43.57288336753845,8.6781325340271,11.935440063476562,46.682417154312134,12.399774551391602,12.167577981948853,28.084649562835693,36.128721475601196,13.219135522842407,31.463134765625,31.124042510986328,6.756609678268433,11.148111581802368,30.32287907600403,35.02902126312256,24.5451877117157,19.897838592529297,26.042746543884277,20.553128480911255,25.21724247932434,41.97630167007446,28.833998203277588,18.99635887145996,19.989869594573975,46.80648064613342,46.864935874938965,46.98127818107605,34.39613723754883,46.83731698989868,47.14681434631348,43.379918813705444,46.91734266281128,47.42171859741211,23.5599946975708,26.21505570411682,46.93025588989258,34.381826639175415,46.72405290603638,28.17285704612732,22.157556533813477,37.43740367889404,43.66663455963135,42.484713077545166,55.71485614776611,44.6612343788147,27.392699718475342,29.997882843017578,22.34844183921814,27.085905075073242,21.486981868743896,36.6967830657959,26.432759761810303,33.77259063720703,35.551849126815796,34.47158670425415,16.20943546295166,14.912823915481567,46.230045795440674,31.0971839427948,62.91977643966675,22.759681463241577,28.448221445083618,22.549210786819458,45.114964723587036,21.973267555236816,44.28094983100891,19.24643850326538,44.71648979187012,12.172850608825684,46.469062089920044,7.21464991569519,19.039024353027344,16.043641328811646,45.1307053565979,25.653931140899658,38.18871188163757,24.64380979537964,8.771084547042847,6.255641460418701
ESN_nolabel_2021-07-28_21.48.21,1361.4365503787994,16.907540321350098,18.041339635849,19.46169948577881,22.723949193954468,14.01416015625,15.116012811660767,18.778552532196045,14.328943014144897,13.769989252090454,14.440718173980713,16.554855585098267,14.380335330963135,15.752856016159058,15.526914834976196,8.503665208816528,15.564642906188965,15.692752599716187,14.814849615097046,17.251679182052612,15.114219427108765,15.080844402313232,16.314843893051147,16.374797582626343,17.421494722366333,14.975164413452148,14.401430130004883,15.45065689086914,14.409666061401367,15.935944080352783,16.455939292907715,15.45329475402832,14.646051168441772,20.874203205108643,22.639105081558228,16.461508989334106,21.327858448028564,17.214314699172974,15.181057214736938,14.455255031585693,16.58134961128235,14.523013353347778,15.778603076934814,18.09853219985962,20.619215965270996,15.591648817062378,17.570918083190918,19.797779083251953,18.91897988319397,14.243886947631836,15.056601285934448,14.490459203720093,18.840545415878296,14.725314140319824,26.543148040771484,22.157047986984253,15.87113332748413,16.537835121154785,14.329714298248291,14.116673469543457,14.801611423492432,15.966710090637207,14.87733006477356,17.188222408294678,14.503360986709595,15.405917406082153,15.49724268913269,17.31278085708618,16.33456301689148,17.406611442565918,14.919361114501953,14.52008581161499,16.276477336883545,19.721959114074707,20.4913911819458,23.299329042434692,17.787495851516724,28.73693585395813,14.41639757156372,18.29141354560852,14.306903600692749,14.693642377853394,8.475302934646606
ESN_lr_2021-08-02_10.31.02,1312.2311809062958,17.156267404556274,14.157648801803589,18.145233154296875,14.775177478790283,14.862807035446167,18.3304500579834,16.474971771240234,14.209090232849121,14.622185468673706,14.557284832000732,16.49651527404785,14.771671056747437,15.57365369796753,14.672702550888062,23.53477191925049,14.397717952728271,15.392144680023193,15.791993856430054,14.655923843383789,14.375731945037842,14.453972816467285,14.106640577316284,17.738131046295166,16.827134370803833,22.587679624557495,15.504325866699219,14.405309438705444,14.001862287521362,15.689936399459839,14.219421863555908,14.518742799758911,14.634890079498291,14.57413101196289,23.54514455795288,25.98600935935974,14.208151817321777,15.123964309692383,14.0377938747406,13.88299560546875,14.677241086959839,14.783465385437012,7.786540746688843,13.915773153305054,14.648053884506226,14.042598009109497,15.850162029266357,14.276971340179443,13.65132212638855,15.089689254760742,22.307311296463013,14.175760984420776,15.791993856430054,13.741395950317383,14.837669372558594,16.68504786491394,14.891752481460571,16.40276336669922,15.319674015045166,14.799589395523071,15.106540441513062,24.773777723312378,15.416845321655273,14.900728225708008,15.605801343917847,14.773184061050415,19.148404836654663,16.128612756729126,15.146218299865723,14.691608428955078,19.51665472984314,14.933432340621948,14.571088552474976,14.169735193252563,14.830586910247803,9.667628765106201,14.447566986083984,22.71768856048584,27.95277452468872,15.387609958648682,15.839202404022217,18.246138095855713,20.620582818984985
