model,total_elapsed_time,P-1,S-1,E-1,E-2,E-3,E-4,E-5,E-6,E-7,E-8,E-9,E-10,E-11,E-12,E-13,A-1,D-1,P-2,P-3,D-2,D-3,D-4,A-2,A-3,A-4,G-1,G-2,D-5,D-6,D-7,F-1,P-4,G-3,T-1,T-2,D-8,D-9,F-2,G-4,T-3,D-11,D-12,B-1,G-6,G-7,P-7,R-1,A-5,A-6,A-7,D-13,P-2,A-8,A-9,F-3,M-6,M-1,M-2,S-2,P-10,T-4,T-5,F-7,M-3,M-4,M-5,P-15,C-1,C-2,T-12,T-13,F-4,F-5,D-14,T-9,P-14,T-8,P-11,D-15,D-16,M-7,F-8
LSTM_baseline_2021-07-23_19.26.44,0h:57m:32s.317,0h:01m:04s.223,0h:00m:58s.659,0h:01m:02s.355,0h:01m:02s.356,0h:00m:58s.412,0h:01m:04s.206,0h:01m:03s.582,0h:00m:32s.793,0h:00m:39s.167,0h:01m:03s.832,0h:01m:04s.308,0h:01m:06s.476,0h:01m:04s.535,0h:01m:03s.992,0h:01m:04s.374,0h:00m:32s.319,0h:00m:33s.422,0h:00m:29s.405,0h:01m:03s.224,0h:00m:31s.902,0h:00m:36s.398,0h:00m:37s.202,0h:00m:58s.897,0h:01m:00s.452,0h:01m:00s.538,0h:00m:59s.439,0h:00m:34s.958,0h:00m:37s.361,0h:00m:55s.697,0h:00m:33s.861,0h:01m:03s.848,0h:00m:29s.169,0h:00m:58s.502,0h:01m:04s.126,0h:01m:04s.41,0h:00m:29s.197,0h:00m:33s.626,0h:00m:45s.897,0h:00m:28s.804,0h:00m:36s.32,0h:00m:32s.963,0h:00m:12s.913,0h:00m:30s.865,0h:00m:33s.975,0h:00m:39s.580,0h:00m:42s.55,0h:00m:34s.300,0h:00m:17s.388,0h:00m:17s.458,0h:01m:02s.377,0h:00m:22s.568,0h:00m:29s.405,0h:00m:22s.529,0h:00m:22s.532,0h:00m:33s.180,0h:00m:20s.826,0h:00m:45s.371,0h:00m:45s.215,0h:00m:13s.157,0h:00m:52s.2,0h:00m:47s.3,0h:00m:23s.360,0h:00m:55s.40,0h:00m:41s.925,0h:00m:42s.270,0h:00m:42s.138,0h:00m:33s.877,0h:00m:44s.177,0h:00m:12s.747,0h:00m:18s.845,0h:00m:15s.590,0h:00m:46s.974,0h:00m:56s.707,0h:00m:33s.505,0h:00m:07s.196,0h:00m:29s.507,0h:00m:10s.537,0h:01m:21s.711,0h:00m:42s.797,0h:00m:30s.477,0h:00m:23s.888,0h:01m:08s.197
DeepESN_baseline_2021-07-24_11.24.35,6h:41m:58s.995,0h:06m:38s.851,0h:05m:18s.718,0h:06m:34s.176,0h:06m:34s.769,0h:06m:23s.536,0h:06m:24s.665,0h:06m:24s.850,0h:05m:25s.38,0h:06m:22s.334,0h:06m:52s.315,0h:06m:41s.574,0h:06m:37s.618,0h:06m:34s.967,0h:06m:42s.133,0h:06m:40s.475,0h:06m:12s.479,0h:06m:42s.79,0h:05m:22s.389,0h:05m:00s.197,0h:06m:14s.714,0h:06m:31s.289,0h:06m:27s.976,0h:05m:50s.753,0h:04m:30s.582,0h:05m:53s.155,0h:06m:05s.605,0h:05m:25s.239,0h:05m:43s.553,0h:05m:28s.269,0h:05m:50s.615,0h:06m:29s.531,0h:06m:04s.853,0h:05m:27s.744,0h:07m:00s.553,0h:06m:52s.586,0h:04m:29s.996,0h:05m:38s.775,0h:04m:36s.291,0h:03m:19s.728,0h:02m:36s.251,0h:04m:56s.260,0h:01m:30s.240,0h:03m:18s.857,0h:06m:31s.677,0h:04m:03s.9,0h:04m:46s.4,0h:03m:19s.499,0h:01m:43s.738,0h:01m:39s.493,0h:06m:48s.98,0h:02m:09s.617,0h:05m:22s.389,0h:02m:24s.746,0h:02m:26s.501,0h:06m:29s.779,0h:02m:59s.809,0h:04m:17s.392,0h:04m:15s.887,0h:01m:43s.690,0h:07m:23s.864,0h:03m:35s.384,0h:04m:22s.942,0h:05m:18s.923,0h:03m:52s.34,0h:03m:54s.849,0h:03m:56s.375,0h:07m:17s.102,0h:04m:02s.754,0h:01m:24s.107,0h:01m:48s.964,0h:02m:11s.827,0h:04m:27s.730,0h:05m:14s.557,0h:05m:05s.612,0h:00m:40s.733,0h:05m:30s.358,0h:01m:18s.862,0h:06m:41s.394,0h:03m:51s.864,0h:02m:38s.972,0h:02m:59s.717,0h:06m:29s.585
ESN_100Epochs_2021-07-28_17.34.52,1h:23m:10s.149,0h:01m:10s.288,0h:01m:11s.238,0h:01m:21s.263,0h:01m:33s.473,0h:01m:26s.637,0h:01m:12s.282,0h:01m:10s.765,0h:01m:13s.98,0h:01m:13s.443,0h:01m:19s.691,0h:01m:17s.21,0h:01m:18s.801,0h:01m:13s.941,0h:01m:25s.555,0h:01m:14s.578,0h:01m:15s.706,0h:01m:20s.743,0h:01m:11s.632,0h:01m:18s.717,0h:01m:17s.150,0h:01m:16s.585,0h:01m:18s.545,0h:01m:19s.816,0h:01m:20s.134,0h:01m:15s.413,0h:01m:16s.576,0h:01m:06s.674,0h:01m:07s.852,0h:01m:12s.674,0h:01m:07s.581,0h:01m:12s.745,0h:01m:08s.233,0h:01m:23s.240,0h:01m:13s.589,0h:01m:20s.908,0h:01m:16s.860,0h:01m:06s.287,0h:01m:18s.533,0h:01m:08s.937,0h:01m:15s.131,0h:01m:10s.589,0h:01m:10s.495,0h:01m:09s.74,0h:01m:21s.231,0h:01m:13s.949,0h:01m:10s.461,0h:01m:06s.69,0h:00m:44s.656,0h:00m:42s.877,0h:01m:14s.431,0h:01m:06s.702,0h:01m:11s.632,0h:01m:16s.885,0h:01m:11s.810,0h:01m:20s.579,0h:00m:27s.167,0h:00m:29s.130,0h:00m:30s.13,0h:00m:25s.122,0h:00m:56s.175,0h:00m:31s.555,0h:00m:32s.848,0h:00m:51s.914,0h:00m:29s.523,0h:00m:29s.149,0h:00m:34s.836,0h:00m:34s.919,0h:00m:30s.125,0h:00m:28s.637,0h:00m:38s.73,0h:00m:32s.920,0h:00m:39s.111,0h:00m:44s.500,0h:00m:33s.584,0h:00m:14s.671,0h:00m:59s.384,0h:00m:23s.920,0h:00m:43s.318,0h:00m:29s.867,0h:00m:30s.964,0h:00m:28s.816,0h:00m:33s.979
LSTM_nolabel_2021-07-28_19.01.24,0h:52m:08s.63,0h:00m:44s.574,0h:00m:50s.423,0h:00m:52s.835,0h:00m:52s.855,0h:00m:13s.375,0h:00m:16s.965,0h:00m:56s.90,0h:00m:21s.213,0h:00m:21s.93,0h:00m:51s.611,0h:00m:38s.817,0h:00m:15s.621,0h:00m:40s.922,0h:00m:39s.87,0h:00m:36s.478,0h:00m:19s.184,0h:00m:33s.22,0h:00m:38s.123,0h:00m:26s.820,0h:00m:29s.75,0h:00m:34s.781,0h:00m:29s.911,0h:00m:33s.113,0h:00m:50s.743,0h:00m:36s.916,0h:00m:27s.701,0h:00m:28s.9,0h:00m:56s.681,0h:00m:56s.405,0h:00m:56s.498,0h:00m:43s.736,0h:00m:56s.436,0h:00m:58s.111,0h:00m:52s.668,0h:00m:57s.166,0h:00m:56s.259,0h:00m:32s.690,0h:00m:35s.550,0h:00m:56s.238,0h:00m:43s.175,0h:00m:55s.869,0h:00m:37s.434,0h:00m:31s.51,0h:00m:41s.395,0h:00m:48s.134,0h:00m:48s.108,0h:00m:58s.581,0h:00m:53s.884,0h:00m:36s.523,0h:00m:39s.366,0h:00m:30s.144,0h:00m:36s.385,0h:00m:29s.891,0h:00m:39s.375,0h:00m:28s.922,0h:00m:36s.158,0h:00m:37s.605,0h:00m:36s.763,0h:00m:18s.277,0h:00m:17s.75,0h:00m:55s.220,0h:00m:37s.407,0h:01m:06s.654,0h:00m:29s.526,0h:00m:31s.550,0h:00m:30s.857,0h:00m:53s.959,0h:00m:30s.89,0h:00m:52s.587,0h:00m:34s.316,0h:00m:52s.598,0h:00m:14s.99,0h:00m:55s.756,0h:00m:08s.151,0h:00m:21s.463,0h:00m:18s.413,0h:00m:53s.882,0h:00m:34s.553,0h:00m:40s.416,0h:00m:26s.875,0h:00m:10s.327,0h:00m:07s.419
ESN_nolabel_2021-07-28_21.48.21,1h:23m:13s.883,0h:01m:06s.532,0h:01m:14s.873,0h:01m:20s.160,0h:01m:23s.546,0h:00m:44s.86,0h:00m:44s.751,0h:01m:16s.548,0h:01m:16s.740,0h:01m:10s.351,0h:01m:21s.200,0h:00m:30s.35,0h:00m:26s.573,0h:01m:17s.457,0h:01m:10s.418,0h:01m:24s.275,0h:01m:07s.668,0h:00m:31s.963,0h:00m:28s.874,0h:00m:31s.672,0h:01m:15s.616,0h:01m:19s.565,0h:01m:18s.381,0h:01m:14s.133,0h:01m:13s.504,0h:01m:08s.30,0h:01m:13s.600,0h:01m:07s.485,0h:01m:11s.698,0h:01m:13s.659,0h:01m:14s.799,0h:01m:17s.104,0h:01m:12s.939,0h:01m:23s.738,0h:01m:22s.869,0h:01m:14s.952,0h:01m:23s.313,0h:01m:17s.399,0h:01m:12s.760,0h:01m:17s.336,0h:01m:17s.191,0h:01m:14s.65,0h:01m:17s.460,0h:01m:21s.270,0h:00m:45s.724,0h:00m:45s.477,0h:00m:53s.640,0h:00m:36s.141,0h:01m:20s.293,0h:01m:05s.666,0h:01m:12s.792,0h:01m:09s.621,0h:01m:36s.217,0h:01m:14s.285,0h:00m:41s.295,0h:00m:36s.204,0h:00m:28s.780,0h:00m:29s.152,0h:00m:29s.236,0h:00m:26s.210,0h:00m:28s.625,0h:01m:15s.895,0h:00m:56s.759,0h:00m:41s.315,0h:00m:56s.156,0h:00m:33s.287,0h:01m:12s.911,0h:01m:18s.847,0h:01m:15s.359,0h:01m:12s.728,0h:01m:07s.397,0h:01m:07s.872,0h:00m:27s.724,0h:01m:18s.452,0h:00m:23s.187,0h:00m:41s.117,0h:00m:34s.976,0h:01m:27s.90,0h:01m:15s.53,0h:00m:32s.342,0h:00m:27s.965,0h:00m:23s.255,0h:00m:14s.210
