model,total_elapsed_time,P-1,S-1,E-1,E-2,E-3,E-4,E-5,E-6,E-7,E-8,E-9,E-10,E-11,E-12,E-13,A-1,D-1,P-2,P-3,D-2,D-3,D-4,A-2,A-3,A-4,G-1,G-2,D-5,D-6,D-7,F-1,P-4,G-3,T-1,T-2,D-8,D-9,F-2,G-4,T-3,D-11,D-12,B-1,G-6,G-7,P-7,R-1,A-5,A-6,A-7,D-13,P-2,A-8,A-9,F-3,M-6,M-1,M-2,S-2,P-10,T-4,T-5,F-7,M-3,M-4,M-5,P-15,C-1,C-2,T-12,T-13,F-4,F-5,D-14,T-9,P-14,T-8,P-11,D-15,D-16,M-7,F-8
2021-08-01_10.18.56,39101.22197055817,478.54029989242554,452.24841809272766,488.0332741737366,505.59455585479736,521.927369594574,487.02418780326843,474.17795848846436,473.7364253997803,482.3480520248413,485.17074489593506,488.8119375705719,483.02970266342163,493.60411286354065,522.9691543579102,485.16687297821045,489.0343339443207,498.2669048309326,0.4205591678619385,492.50306510925293,492.53155755996704,495.8142786026001,494.6301975250244,485.94497871398926,482.3516652584076,488.6191051006317,486.74068689346313,495.2852861881256,497.30444526672363,493.68500232696533,491.70507884025574,489.59641122817993,495.89506459236145,495.38250160217285,468.2127721309662,499.9633786678314,484.53567838668823,485.3396291732788,448.8290419578552,469.1300220489502,470.71388936042786,493.84102416038513,305.5545222759247,482.6442914009094,489.61007285118103,448.79900193214417,489.98988223075867,491.07898020744324,470.1470320224762,480.83228635787964,476.6756286621094,491.85651302337646,0.4205591678619385,488.8885440826416,473.79679131507874,492.07225728034973,500.49753189086914,503.22558188438416,454.84097695350647,490.20515847206116,522.3044729232788,501.8168864250183,511.97246289253235,485.2730076313019,496.6738703250885,480.87475395202637,502.82614040374756,525.4168703556061,503.72021532058716,478.4512813091278,489.1522569656372,487.0670418739319,486.2641830444336,486.7649507522583,492.14310789108276,282.1308355331421,558.7532751560211,434.7277202606201,494.8783280849457,472.46168208122253,453.9015347957611,445.02910256385803,475.38947439193726
2021-08-01_10.18.56,25160.694942951202,478.54029989242554,452.24841809272766,488.0332741737366,505.59455585479736,521.927369594574,487.02418780326843,474.17795848846436,473.7364253997803,482.3480520248413,485.17074489593506,488.8119375705719,483.02970266342163,493.60411286354065,522.9691543579102,485.16687297821045,489.0343339443207,498.2669048309326,493.8538374900818,492.50306510925293,492.53155755996704,495.8142786026001,494.6301975250244,485.94497871398926,482.3516652584076,488.6191051006317,486.74068689346313,495.2852861881256,497.30444526672363,493.68500232696533,491.70507884025574,489.59641122817993,495.89506459236145,495.38250160217285,468.2127721309662,499.9633786678314,484.53567838668823,485.3396291732788,448.8290419578552,469.1300220489502,470.71388936042786,493.84102416038513,305.5545222759247,482.6442914009094,489.61007285118103,448.79900193214417,489.98988223075867,491.07898020744324,470.1470320224762,480.83228635787964,476.6756286621094,491.85651302337646,493.8538374900818,10.469252347946167,0.8001058101654053,0.6519393920898438,0.6587352752685547,1.7831642627716064,1.361675500869751,0.9285163879394531,0.94879150390625,0.803849458694458,1.88313627243042,0.9660379886627197,1.0143554210662842,0.7885022163391113,0.7103815078735352,0.8666815757751465,0.9514544010162354,0.7091031074523926,0.8069627285003662,0.7040369510650635,0.7488245964050293,0.8259463310241699,0.8695945739746094,0.7688753604888916,0.8167452812194824,0.8581814765930176,1.3713326454162598,0.7615165710449219,0.7262697219848633,0.8146300315856934,1.191392183303833
2021-08-01_10.18.56,25133.464993715286,478.54029989242554,452.24841809272766,488.0332741737366,505.59455585479736,521.927369594574,487.02418780326843,474.17795848846436,473.7364253997803,482.3480520248413,485.17074489593506,488.8119375705719,483.02970266342163,493.60411286354065,522.9691543579102,485.16687297821045,489.0343339443207,498.2669048309326,493.8538374900818,492.50306510925293,492.53155755996704,495.8142786026001,494.6301975250244,485.94497871398926,482.3516652584076,488.6191051006317,486.74068689346313,495.2852861881256,497.30444526672363,493.68500232696533,491.70507884025574,489.59641122817993,495.89506459236145,495.38250160217285,468.2127721309662,499.9633786678314,484.53567838668823,485.3396291732788,448.8290419578552,469.1300220489502,470.71388936042786,493.84102416038513,305.5545222759247,482.6442914009094,489.61007285118103,448.79900193214417,489.98988223075867,491.07898020744324,470.1470320224762,480.83228635787964,476.6756286621094,491.85651302337646,493.8538374900818,1.839104175567627,0.29720520973205566,0.31116533279418945,0.31914782524108887,0.3061330318450928,0.28403139114379883,0.30124568939208984,0.26711201667785645,0.3196866512298584,0.3019986152648926,0.27623414993286133,0.32900166511535645,0.2762613296508789,0.31010961532592773,0.28703880310058594,0.2930009365081787,0.276094913482666,0.2833247184753418,0.2718186378479004,0.2762570381164551,0.2870473861694336,0.2958357334136963,0.2962179183959961,0.25724172592163086,0.33768486976623535,0.26276588439941406,0.3141520023345947,0.2876265048980713,0.2958648204803467,0.26963305473327637
2021-08-01_10.18.56,39594.655248880386,478.54029989242554,452.24841809272766,488.0332741737366,505.59455585479736,521.927369594574,487.02418780326843,474.17795848846436,473.7364253997803,482.3480520248413,485.17074489593506,488.8119375705719,483.02970266342163,493.60411286354065,522.9691543579102,485.16687297821045,489.0343339443207,498.2669048309326,493.8538374900818,492.50306510925293,492.53155755996704,495.8142786026001,494.6301975250244,485.94497871398926,482.3516652584076,488.6191051006317,486.74068689346313,495.2852861881256,497.30444526672363,493.68500232696533,491.70507884025574,489.59641122817993,495.89506459236145,495.38250160217285,468.2127721309662,499.9633786678314,484.53567838668823,485.3396291732788,448.8290419578552,469.1300220489502,470.71388936042786,493.84102416038513,305.5545222759247,482.6442914009094,489.61007285118103,448.79900193214417,489.98988223075867,491.07898020744324,470.1470320224762,480.83228635787964,476.6756286621094,491.85651302337646,493.8538374900818,488.8885440826416,473.79679131507874,492.07225728034973,500.49753189086914,503.22558188438416,454.84097695350647,490.20515847206116,522.3044729232788,501.8168864250183,511.97246289253235,485.2730076313019,496.6738703250885,480.87475395202637,502.82614040374756,525.4168703556061,503.72021532058716,478.4512813091278,489.1522569656372,487.0670418739319,486.2641830444336,486.7649507522583,492.14310789108276,282.1308355331421,558.7532751560211,434.7277202606201,494.8783280849457,472.46168208122253,453.9015347957611,445.02910256385803,475.38947439193726
